tanggal,totcharea,gcharea,scale,eta
02-09-2020 00:07:17,3.3,0.664,QUIET,89
02-09-2020 00:18:05,3.4,0.692,QUIET,89
02-09-2020 00:27:41,3.3,0.649,QUIET,89
02-09-2020 00:38:17,3.3,0.685,QUIET,89
02-09-2020 00:48:05,3.3,0.648,QUIET,89
02-09-2020 00:57:29,3.3,0.683,QUIET,89
02-09-2020 01:07:05,3.3,0.677,QUIET,89
02-09-2020 01:17:29,3.3,0.687,QUIET,89
02-09-2020 01:28:05,3.3,0.685,QUIET,89
02-09-2020 01:37:53,3.4,0.754,QUIET,89
02-09-2020 01:47:53,3.3,0.658,QUIET,89
02-09-2020 01:58:29,3.4,0.714,QUIET,89
02-09-2020 02:07:29,3.3,0.636,QUIET,89
02-09-2020 02:17:53,3.4,0.755,QUIET,89
02-09-2020 02:27:17,3.4,0.751,QUIET,89
02-09-2020 02:38:05,3.4,0.732,QUIET,89
02-09-2020 02:47:41,3.4,0.77,QUIET,89
02-09-2020 02:57:41,3.3,0.663,QUIET,89
02-09-2020 03:08:05,3.5,0.774,QUIET,89
02-09-2020 03:18:41,3.2,0.624,QUIET,89
02-09-2020 03:27:05,3.4,0.754,QUIET,89
02-09-2020 03:37:41,3.3,0.714,QUIET,89
02-09-2020 03:47:53,3.4,0.731,QUIET,89
02-09-2020 03:57:29,3.3,0.746,QUIET,89
02-09-2020 04:08:05,3.2,0.641,QUIET,89
02-09-2020 04:17:53,3.4,0.788,QUIET,89
02-09-2020 04:28:17,3.5,0.802,QUIET,89
02-09-2020 04:38:29,3.4,0.789,QUIET,89
02-09-2020 04:47:53,3.4,0.773,QUIET,89
02-09-2020 04:57:53,3.4,0.75,QUIET,89
02-09-2020 05:07:17,3.2,0.625,QUIET,89
02-09-2020 05:17:41,3.2,0.64,QUIET,89
02-09-2020 05:28:05,3.3,0.725,QUIET,89
02-09-2020 05:38:17,3.2,0.6,QUIET,89
02-09-2020 05:47:05,3,0.575,QUIET,89
02-09-2020 05:58:05,3.1,0.573,QUIET,89
02-09-2020 06:07:41,3.1,0.557,QUIET,89
02-09-2020 06:17:29,3.1,0.548,QUIET,89
02-09-2020 06:27:17,3.1,0.469,QUIET,89
02-09-2020 06:38:05,3.1,0.512,QUIET,89
02-09-2020 06:48:05,3.1,0.472,QUIET,89
02-09-2020 06:58:17,3,0.437,QUIET,89
02-09-2020 07:07:29,2.9,0.372,QUIET,89
02-09-2020 07:17:53,2.9,0.389,QUIET,89
02-09-2020 07:27:05,2.9,0.374,QUIET,89
02-09-2020 07:38:29,2.9,0.357,QUIET,89
02-09-2020 07:47:53,3.1,0.488,QUIET,89
02-09-2020 07:57:05,2.9,0.389,QUIET,89
02-09-2020 08:07:29,3.1,0.521,QUIET,89
02-09-2020 08:17:53,3.1,0.524,QUIET,89
02-09-2020 08:27:53,3.1,0.565,QUIET,89
02-09-2020 08:37:41,3.2,0.641,QUIET,89
02-09-2020 08:47:05,3.1,0.546,QUIET,89
02-09-2020 08:57:05,3.1,0.561,QUIET,89
02-09-2020 09:07:53,3.1,0.574,QUIET,89
02-09-2020 09:17:41,3.1,0.512,QUIET,89
02-09-2020 09:27:41,3.1,0.534,QUIET,89
02-09-2020 09:37:17,2.9,0.354,QUIET,89
02-09-2020 09:47:53,3.1,0.539,QUIET,89
02-09-2020 09:57:53,3,0.508,QUIET,89
02-09-2020 10:07:41,2.9,0.468,QUIET,89
02-09-2020 10:18:29,3,0.5,QUIET,89
02-09-2020 10:28:29,3,0.538,QUIET,89
02-09-2020 10:37:29,2.9,0.465,QUIET,89
02-09-2020 10:48:29,2.9,0.473,QUIET,89
02-09-2020 10:57:41,3.1,0.507,QUIET,89
02-09-2020 11:08:05,3.1,0.452,QUIET,89
02-09-2020 11:17:53,3,0.431,QUIET,89
02-09-2020 11:28:05,2.9,0.447,QUIET,89
02-09-2020 11:38:17,2.9,0.433,QUIET,89
02-09-2020 11:47:41,3,0.429,QUIET,89
02-09-2020 11:57:53,2.9,0.441,QUIET,89
02-09-2020 12:07:29,3,0.483,QUIET,89
02-09-2020 12:17:17,3,0.465,QUIET,89
02-09-2020 12:28:05,3,0.539,QUIET,89
02-09-2020 12:37:41,3,0.539,QUIET,89
02-09-2020 12:47:41,3,0.545,QUIET,89
02-09-2020 12:57:41,3,0.532,QUIET,89
02-09-2020 13:08:05,3,0.5,QUIET,89
02-09-2020 13:18:05,2.8,0.353,QUIET,89
02-09-2020 13:27:17,2.7,0.353,QUIET,89
02-09-2020 13:38:17,2.9,0.507,QUIET,89
02-09-2020 13:48:05,2.8,0.374,QUIET,89
02-09-2020 13:58:29,2.8,0.4,QUIET,89
02-09-2020 14:08:05,3,0.544,QUIET,89
02-09-2020 14:17:17,3,0.558,QUIET,89
02-09-2020 14:27:41,3,0.529,QUIET,89
02-09-2020 14:37:05,3,0.552,QUIET,89
02-09-2020 14:48:05,3,0.527,QUIET,89
02-09-2020 14:57:17,3,0.521,QUIET,89
02-09-2020 15:08:05,3,0.524,QUIET,89
02-09-2020 15:17:17,3,0.542,QUIET,89
02-09-2020 15:27:17,2.9,0.534,QUIET,89
02-09-2020 15:37:41,2.9,0.542,QUIET,89
02-09-2020 15:48:05,3,0.49,QUIET,89
02-09-2020 15:57:41,3.1,0.506,QUIET,89
02-09-2020 16:08:05,2.9,0.52,QUIET,89
02-09-2020 16:18:05,3.1,0.504,QUIET,89
02-09-2020 16:27:53,3.1,0.518,QUIET,89
02-09-2020 16:37:29,2.9,0.503,QUIET,89
02-09-2020 16:49:05,2.8,0.382,QUIET,89
02-09-2020 16:57:29,2.8,0.319,QUIET,89
02-09-2020 17:07:41,2.9,0.349,QUIET,89
02-09-2020 17:18:05,3,0.317,QUIET,89
02-09-2020 17:28:41,3,0.33,QUIET,89
02-09-2020 17:37:29,3,0.284,QUIET,89
02-09-2020 17:47:53,2.8,0.343,QUIET,89
02-09-2020 17:58:29,3,0.4,QUIET,89
02-09-2020 18:07:53,3,0.333,QUIET,89
02-09-2020 18:17:29,2.9,0.358,QUIET,89
02-09-2020 18:27:41,3.1,0.351,QUIET,89
02-09-2020 18:37:41,3.1,0.392,QUIET,89
02-09-2020 18:47:05,2.9,0.358,QUIET,89
02-09-2020 18:56:53,3.1,0.385,QUIET,89
02-09-2020 19:07:17,2.9,0.362,QUIET,89
02-09-2020 19:17:29,3,0.334,QUIET,89
02-09-2020 19:27:29,3,0.34,QUIET,89
02-09-2020 19:37:41,3,0.326,QUIET,89
02-09-2020 19:47:29,3,0.308,QUIET,89
02-09-2020 19:57:41,3,0.31,QUIET,89
02-09-2020 20:07:05,3,0.296,QUIET,89
02-09-2020 20:17:53,3,0.274,QUIET,89
02-09-2020 20:27:17,3,0.26,QUIET,89
02-09-2020 20:37:53,3,0.256,QUIET,89
02-09-2020 20:47:53,2.9,0.202,QUIET,89
02-09-2020 20:58:17,2.9,0.199,QUIET,89
02-09-2020 21:08:17,2.9,0.188,QUIET,89
02-09-2020 21:16:29,2.8,0.0649,QUIET,89
02-09-2020 21:28:17,2.9,0.206,QUIET,89
02-09-2020 21:38:17,2.9,0.201,QUIET,89
02-09-2020 21:47:41,2.8,0.19,QUIET,89
02-09-2020 21:57:17,2.8,0.189,QUIET,89
02-09-2020 22:06:53,2.9,0.192,QUIET,89
02-09-2020 22:17:41,2.9,0.203,QUIET,89
02-09-2020 22:28:05,2.8,0.188,QUIET,89
02-09-2020 22:37:53,2.7,0.0553,QUIET,89
02-09-2020 22:47:53,2.9,0.185,QUIET,89
02-09-2020 22:57:29,2.8,0.189,QUIET,89
02-09-2020 23:07:41,2.9,0.189,QUIET,89
02-09-2020 23:17:17,2.8,0.183,QUIET,89
02-09-2020 23:28:05,2.6,0.0433,QUIET,89
02-09-2020 23:37:41,2.5,0.0385,QUIET,89
02-09-2020 23:47:53,2.7,0.0433,QUIET,89
02-09-2020 23:57:17,2.6,0.0409,QUIET,89
03-09-2020 00:07:29,2.6,0.0409,QUIET,89
03-09-2020 00:18:05,2.7,0.0385,QUIET,89
03-09-2020 00:26:53,2.8,0.179,QUIET,89
03-09-2020 00:38:17,2.8,0.171,QUIET,89
03-09-2020 00:48:17,2.7,0.197,QUIET,89
03-09-2020 00:57:41,2.8,0.211,QUIET,89
03-09-2020 01:07:17,2.9,0.245,QUIET,89
03-09-2020 01:17:29,2.8,0.199,QUIET,89
03-09-2020 01:27:53,2.9,0.271,QUIET,89
03-09-2020 01:38:05,2.8,0.239,QUIET,89
03-09-2020 01:47:41,2.7,0.231,QUIET,89
03-09-2020 01:57:41,2.7,0.23,QUIET,89
03-09-2020 02:07:41,2.8,0.234,QUIET,89
